Title,sku,regular price,stock,img%20url,on ebay,group,Person Name,C:Team,C:League
Courtney Cummz autographed Adult Model RP 8X10 signed Photo RP1801,CourtneyC04022020RrpY1801,9.99,1,https://american-autographs.com/toimages//Courtney%20Cummz%2003032020%20(119)_1801.jpg|,23,1637,Courtney Cummz,rpr,
Lucy Tyler autographed Model RP 8x10 Photo RP1670,LucyT08142021CLY1670,9.99,1,https://american-autographs.com/toimages//Lucy%20Tyler%20reg%20_1670.jpg|,,1172,Lucy Tyler,rpr,
Carmen Valentina autographed Model RP 8x10 Photo RP0399,CarmenV2019RpAVNrY0399,9.99,1,https://american-autographs.com/toimages//carmen%20valentina%20_9-29-2017_0014_0399.jpg|,,896,Carmen Valentina,rpr,
Mary Carey autographed Model RP 8X10 Photo RP9060,MarRppRG54569060,9.99,1,https://american-autographs.com/toimages//mary%20carey%209060.jpg|,,1190,Mary Carey,rpr,
Morgan Bailey autographed Model RP 8x10 Photo RP2128,MorganB08142021CLY2128,9.99,1,https://american-autographs.com/toimages//Morgan%20Bailey%20reg%20_2128.jpg|,,3121,Morgan Bailey,rpr,
Amy Reid autographed Model RP 8x10 Photo RP0029,AmyR822019CY0029,9.95,1,https://american-autographs.com/toimages//Amy%20Reid_020819_0029.jpg|,23,837,Amy Reid,rpr,
Miley May autographed Model RP 8x10 Photo RP1972,MileyM08142021CLY1972,9.99,1,https://american-autographs.com/toimages//Miley%20May%20reg%20_1972.jpg|,,1212,Miley May,rpr,
Natassia Dreams autographed TS Model RP 8X10 signed Photo RP0226,NatassiaD04122020rrpY0226,9.99,1,https://american-autographs.com/toimages//natassia%20dreams%20avn20%20_01-28-2020_0004_0226.jpg|,,1691,Natassia Dreams,rpr,
Skin Diamond autographed Adult Model RP 8X10 signed Photo RP1474,SkinD05182020RegRpgY1474,9.99,1,https://american-autographs.com/toimages//Skin%20Diamond%20%20_1474.jpg|,,3040,Skin Diamond,rpr,
Priya Rai autographed Model RP 8x10 Photo RP0025,PriyaR112022RY0025,39.99,1,https://american-autographs.com/toimages//Priya%20Rai%20signed%208x10%20_0025.jpg|,,3037,Priya Rai,rpr,
Nautica Thorn autographed Model RP 8X10 Photo (A0218),NauticaT09262019rY0218,9.99,1,https://american-autographs.com/toimages//nautica%20thorn%20162%20%200218.jpg|,,1446,Nautica Thorn,rpr,
Anikka Albrite autographed Adult Model RP 8X10 signed Photo RP0590,AnikkaA07182020RY0590,9.95,1,https://american-autographs.com/toimages//Anikka%20Albrite%20RP714%20_0590.jpg|,23,846,Anikka Albrite,rpr,
Jewelz Blu autographed Model RP 8x10 Photo RP1083,JewelzB08142021CLY1083,9.99,1,https://american-autographs.com/toimages//Jewelz%20Blu%20_1083.jpg|,,1483,Jewelz Blu,rpr,
Joanna Angel autographed Model RP 8x10 Photo RP1168,JoannaA2019RpAVNrY1168,9.99,1,https://american-autographs.com/toimages//joanna%20angel%20_9-29-2017_0005_1168.jpg|,,1059,Joanna Angel,rpr,
Andy San Dimas autographed Adult Model RP 8X10 signed Photo RP0266,AndyS04292020RRRPY0266,9.99,1,https://american-autographs.com/toimages//Andy%20San%20Dimas%2004102020%20(4)_0266.jpg|,,3005,Andy San Dimas,rpr,
Darcie Dolce autographed Model RP 8X10 Photo RP6654,DarRppRG31586654,9.99,1,https://american-autographs.com/toimages//darcie%20dolce%206654.jpg|,,948,Darcie Dolce,rpr,
Natasha Nice autographed Model RP 8x10 Photo RP2163,NatashaN08142021CLY2163,9.99,1,https://american-autographs.com/toimages//Natasha%20Nice%20reg%20_2163.jpg|,,1234,Natasha Nice,rpr,
Kate England autographed Model RP 8x10 Photo RP0901,KateEprpR2019Y0901,9.99,1,https://american-autographs.com/toimages//Kate%20England%201_0901.jpg|,,1090,Kate England,rpr,
